,Status,Beds,Baths,SQFT,Acres,Price,Address,City
341,Contingent,2,1.5,"1,530","3,920","$179,900","7610 Bay Hill Dr, ","Pickerington, OH 43147"
342,For Sale,4,2.5,"2,356",,Contact For Price,"Holland Plan, Lampton Village Community","COLUMBUS, OH"
343,For Sale,2,2.5,"2,057","1,307","$779,000","644 Jaeger St, ","Columbus, OH 43206"
344,Contingent,3,1.5,"1,313","3,920","$425,000","1174 Oregon Ave, ","Columbus, OH 43201"
345,Coming Soon,3,1,"1,504","4,356","$375,000","269 E Tulane Rd, ","Columbus, OH 43202"
346,For Sale,3,2.5,"2,050","6,534","$439,900","4858 Farview Rd, ","Columbus, OH 43231"
347,Coming Soon,3,3.5,"1,710","6,534","$349,900","3918 Mad River Rd, ","Grove City, OH 43123"
348,Contingent,4,2.5,"2,737","8,276","$384,999","968 Harborton Dr, ","Columbus, OH 43228"
349,For Sale,3,2.5,"2,155",,Contact For Price,"Pennington Plan, Lampton Village Community","COLUMBUS, OH"
350,For Sale,5,3,"2,600",,Contact For Price,"Haley Plan, Lampton Village Community","COLUMBUS, OH"
351,Contingent,3,2.5,"1,518","6,534","$285,000","6318 Whims Rd, ","Canal Winchester, OH 43110"
352,Contingent,3,2.5,"1,598",0.37,"$449,900","2425 Merbrook Rd, ","Columbus, OH 43235"
353,Contingent,4,2.5,"2,526",0.33,"$384,900","1025 Caroway Blvd, ","Gahanna, OH 43230"
354,Contingent,6,3.5,"3,400",0.33,"$675,000","445 Hamilton Ct, ","Gahanna, OH 43230"
355,Contingent,4,2,"2,232","6,534","$439,900","1011 S Roosevelt Ave, ","Bexley, OH 43209"
356,For Sale,4,2.5,"2,053",,Contact For Price,"Belford Plan, Lampton Village Community","COLUMBUS, OH"
357,Contingent,3,2.5,"2,075","1,742","$349,900","4383 Bridgeside Pl, ","New Albany, OH 43054"
358,Contingent,4,2.5,"1,710","7,405","$225,000","3175 Pine Valley Rd, ","Columbus, OH 43219"
359,Contingent,2,1.5,938,,"$219,900","4968 Deer Run Pl, ","Westerville, OH 43081"
360,For Sale,4,3.5,"3,312","7,841","$499,900","6123 Saunders Way, ","Westerville, OH 43081"
361,For Sale,3,2,"1,344","7,405","$349,000","4914 Ivywild Ave, ","Hilliard, OH 43026"
362,For Sale,2,2,924,,"$30,000","1058 Arness Ave, ","Columbus, OH 43207"
363,Contingent,2,1.5,832,436,"$179,900","5070 Stoneybrook Blvd Unit 3B, ","Hilliard, OH 43026"
364,Contingent,3,1.5,"1,406","7,405","$250,000","482 Denwood Ct, ","Columbus, OH 43230"
365,For Sale,2,2,"1,646",,,"Prosperity Plan, Retreat at Sugar Farms Community","Hilliard, OH"
366,For Sale,3,2.5,"2,508",,,"Mercer Plan, Sugar Farms Community","Hilliard, OH"
367,Contingent,2,2,"1,273","2,614","$439,500","191 Jackson St, ","Columbus, OH 43206"
368,For Sale,4,2.5,"2,053",,Contact For Price,"Belford Plan, Allmon Run Community","Grove City, OH"
369,For Sale,3,1,"1,500","5,663","$509,000","1166 Grandview Ave, ","Grandview Heights, OH 43212"
370,Contingent,3,2.5+,"1,490",0.24,"$354,900","9110 Longstone Dr, ","Lewis Center, OH 43035"
371,For Sale,3,2.5,"2,225","1,307","$379,900","4532 Carriage Hill Ln, ","Columbus, OH 43220"
372,Contingent,3,2,"1,990","6,970","$359,800","3373 Littler Ln, ","Columbus, OH 43228"
373,Contingent,3,1,990,"7,405","$174,900","1105 Billie Dr, ","Columbus, OH 43227"
374,For Sale,3,2.5,"2,427",,,"Madison Plan, Hoover Farms Community","Westerville, OH"
375,For Sale,1,1,771,"9,583","$229,900","444 N Front St Apt 312, ","Columbus, OH 43215"
376,Contingent,3,2,"1,244","7,405","$294,900","1026 Crossbrook Blvd, ","Galloway, OH 43119"
377,For Sale,4,2.5+,"4,640",0.47,"$675,000","754 Stonewood Ct, ","Columbus, OH 43235"
378,For Sale,4,2.5,"2,112",0.35,"$448,900","818 Eastchester Dr, ","Columbus, OH 43230"
379,Contingent,3,1,"1,386","3,485","$209,900","527 Cline St, ","Columbus, OH 43206"
380,Contingent,3,1,"1,128",0.25,"$266,900","522 Wetmore Rd, ","Columbus, OH 43214"
381,For Sale,2,2,"1,237","1,825","$294,000","1212 W Amberlea Dr Unit 2-1212, ","Columbus, OH 43230"
382,Contingent,2,1.5,900,"1,742","$184,900","4413 Hammerton Dr Unit 12D, ","Columbus, OH 43228"
383,For Sale,4,3.5,"3,492",0.25,"$524,900","461 Preservation Ln, ","Columbus, OH 43230"
384,For Sale,2,2.5,"2,026",,,"Prestige with Basement Plan, Retreat at Sugar Farms Community","Hilliard, OH"
385,For Sale,3,3,"1,696","1,742","$344,900","5269 Ruth Amy Ave, ","Westerville, OH 43081"
386,For Sale,5,3.5+,"3,258",0.38,"$445,000","708 Ozem Gardner Way, ","Westerville, OH 43081"
387,For Sale,3,2.5,"1,956",0.26,"$339,000","2052 Juneau Way, ","Grove City, OH 43123"
388,Contingent,4,3.5,"4,100","3,485","$979,000","5858 Dyrham Park, ","Dublin, OH 43017"
389,Contingent,2,1.5,"1,201",436,"$239,000","5102 Reed Rd, ","Columbus, OH 43220"
390,For Sale,2,2,"1,892",,,"Palmary with Basement Plan, Retreat at Sugar Farms Community","Hilliard, OH"
391,For Sale,3,2,"2,323",,,"Amberwood Plan, Sugar Farms Community","Hilliard, OH"
